Transaction_ID,Customer_Name,Customer_Email,Transaction_Amount,Transaction_Date,Merchant_Name,Merchant_Email,Merchant_Location,Card_Number,Card_Expiry,Card_CVV,IP_Address,Device_Type,Transaction_Type,Fraudulent
2c276e09-24f7-4e6b-8122-47c3627a7268,Jennifer Wilson,amygreen@example.com,175.11,01-03-2024,Hampton-Powell,gregcaldwell@gillespie.net,Cayman Islands,4.17562E+18,Jun-30,777,42.103.253.55,Tablet,In-store,1
dc066519-15d4-45a6-9e6d-5333c0a55fbc,Scott Matthews,nicoleferguson@example.net,968.51,23-02-2024,Keller and Sons,deniseramsey@gallegos-hubbard.com,Zimbabwe,3.51349E+15,Sep-24,632,156.41.109.8,Desktop,In-store,1
64d731f5-cd6f-4d7d-9a06-1c924f3cc26b,Melanie Franklin,fergusonmatthew@example.net,622.59,28-02-2024,"Pearson, Cooper and Miller",hlewis@moss.net,Mayotte,3.01643E+13,Jan-33,102,167.20.56.146,Desktop,Online,0
d65e7862-b30c-4df9-b44e-fd219c2429cb,Sabrina Waller,williamsshirley@example.com,698.31,27-01-2024,Mcdaniel and Sons,brianchavez@stevens.net,Antigua and Barbuda,3.03456E+13,Dec-26,902,52.241.35.223,Desktop,In-store,0
b355f6c7-04b9-4b52-958d-cce13114aafe,Lisa Blankenship,bondmitchell@example.org,86.73,13-01-2024,Richard-Russo,sandra12@mccall.com,Tanzania,4.1625E+18,Jan-25,849,135.255.117.111,Mobile,Online,1
5e7632dc-9458-4945-bab6-307fbb932755,Richard Alvarado,michaelross@example.org,749.74,02-02-2024,"Wright, Cummings and Morales",hawkinslisa@smith.com,Cameroon,4.17732E+18,Dec-31,152,40.136.231.197,Desktop,In-store,0
1639156c-2399-4876-9386-eb1537f955ea,Jasmine Sanchez DDS,jenniferlopez@example.net,814.09,17-02-2024,Bruce Group,jennifer48@soto.com,Pakistan,2.13166E+14,Mar-29,612,178.178.167.27,Tablet,Online,1
8a378f64-dc81-4f6a-b757-44c4bd47e121,Paula King,nicholasgay@example.org,886.49,28-02-2024,Bishop Ltd,cdillon@ramirez.com,Slovenia,3.44685E+14,Jan-27,109,118.154.7.105,Desktop,In-store,1
ad38e0c8-faf9-4160-bc04-f95ac60c9ad1,Jamie Jefferson,ldavis@example.net,115.53,09-02-2024,Simon-Johnson,jacob42@levy.info,San Marino,4.83063E+12,May-25,643,13.78.40.239,Desktop,In-store,0
b004dc31-a7de-474d-a1b4-bf5ac6b8a026,Carolyn Nunez,ronald28@example.org,402.21,22-02-2024,"Jones, Nelson and Wallace",ayerskelly@stewart.com,Mozambique,3.58371E+15,Mar-24,748,90.248.136.175,Desktop,In-store,0
564e3489-2f29-4328-865a-9c0b6b3e44c0,Brian Pittman,julieedwards@example.net,916.13,23-01-2024,Sims PLC,ashley05@richards.net,Yemen,6.01199E+15,Nov-29,680,51.203.194.64,Desktop,In-store,1
69ba21df-5a59-4cb4-9dc1-e9935763d8e3,Kerry Wang,thomas64@example.org,178.06,02-03-2024,Walker Group,michaelrusso@smith-meyer.com,Germany,4.20863E+18,Jun-26,6624,172.158.91.237,Tablet,Online,0
711329c3-e702-4e12-a481-90dbb0492a13,Justin Thomas,kaylawarren@example.com,593.64,01-03-2024,Anderson-Brooks,joshua63@collins.com,China,6.01107E+15,Dec-30,578,106.60.167.175,Tablet,Online,0
ee93c5bf-5567-40e9-a80d-c85ee7ed4a76,Danny Cruz,jessica48@example.org,284.43,10-02-2024,Logan Inc,sskinner@martinez-williams.com,Tonga,3.40708E+14,Jun-29,696,11.149.149.11,Tablet,In-store,1
600f28da-af4f-41cc-a106-60d977f2136f,Kristin Rivers,thomasmichael@example.org,993.97,01-03-2024,Gibson-Howe,stevensanchez@brown-townsend.com,Nauru,3.05067E+13,Sep-25,563,159.32.16.56,Mobile,Online,1
3f7b7eb7-d330-42ec-9373-3a695974f263,Kimberly Lynch,catherine31@example.com,174.29,24-02-2024,Brown PLC,eboyer@smith.net,Bahamas,5.03886E+11,Jun-24,405,3.216.113.38,Tablet,In-store,1
9bc99f54-85ab-40d7-b5a4-de8d2c6e24ab,Heather Cardenas,douglasandrews@example.net,942.22,07-02-2024,Thompson Group,denise44@thomas.com,Bahrain,5.02096E+11,Aug-25,316,220.154.68.17,Mobile,In-store,1
2ce8a7ca-e4ae-48ed-9f14-db1c5a98d625,Alan Walton,kelly09@example.net,289.15,12-01-2024,Dennis Group,melissa72@wright-curry.com,Costa Rica,2.13121E+14,Oct-27,385,190.51.52.1,Tablet,Online,0
5fe51058-bb9a-4eb8-aca7-3364217cd91a,James Diaz,howebrian@example.com,542.2,08-01-2024,"Rojas, Dickerson and Martin",pierceandrea@wilson.com,Taiwan,6.50026E+15,Apr-32,2778,144.9.207.125,Tablet,Online,0
406a62e7-84ed-466f-bf16-3ebb2e02fdc4,Andrea Schwartz,andrewfrey@example.net,378.55,02-02-2024,Fleming Ltd,chambersbarbara@nelson-graham.biz,Afghanistan,4.18406E+15,Sep-26,305,73.96.118.226,Tablet,In-store,1
1c89a411-1faa-4376-8675-9fa17d164f07,Donald Nunez,goliver@example.net,462.57,08-02-2024,Zimmerman Inc,michaelvillegas@gibson-middleton.com,United States Virgin Islands,6.01116E+15,Nov-31,361,97.44.144.176,Desktop,Online,1
6d5831d5-76a1-440e-b81f-8bb3711c80bd,Craig Rush,pacevedo@example.com,984.55,16-01-2024,Smith-Evans,olevine@stokes-black.biz,Monaco,6.54159E+15,Dec-30,510,74.21.45.169,Desktop,In-store,0
e6b8e045-1448-4a5b-8f99-4db2d3e34fb1,Ryan Baker,burtonbrenda@example.com,696.86,09-02-2024,Bennett-Ingram,brandi52@fisher-kennedy.com,Uzbekistan,4.16917E+12,Jul-28,540,142.251.139.3,Tablet,Online,1
97886021-e65a-4720-a73e-a51e4271ff85,Tracy Alexander,abowman@example.org,482.87,19-01-2024,Rollins Inc,whines@ramirez.info,Uganda,3.58665E+15,Apr-26,995,107.147.164.177,Mobile,Online,0
46a65973-656c-4371-8417-ae49cb436e27,Jason Larson,charleswong@example.net,289.48,01-02-2024,Wheeler-Martinez,bbarrett@harrison.com,Seychelles,2.28137E+15,Apr-28,25,159.111.220.227,Mobile,Online,0
12a938b0-d0fb-4342-8d1f-7c5a3aedc53c,Dr. Bradley Clayton IV,lynncalhoun@example.com,37.69,20-02-2024,"Rush, Daniels and Reynolds",dcummings@willis.com,Hong Kong,4.23458E+15,Jan-28,897,156.210.175.218,Mobile,Online,0
92cd6af6-1acf-471a-a9cd-44be6275f81e,Deborah Castro,justinallen@example.com,721.1,03-02-2024,Rodriguez Ltd,nelsonmary@rodgers.com,Niue,3.40776E+14,Jul-27,27,90.216.30.45,Mobile,Online,0
338f5770-e663-4809-aee9-189a8b2203d6,Paul Taylor,shannon02@example.org,748.75,17-02-2024,Stevenson Group,debbie31@burch.info,United States of America,2.13165E+14,Jul-32,937,133.48.54.139,Tablet,Online,0
3851eb3f-5d29-4c6f-a402-d7654ff2502b,Scott Smith,wmarquez@example.net,250.49,08-02-2024,"Harrison, Rice and Rodriguez",alyssasullivan@rodriguez.com,Brunei Darussalam,4.28769E+15,Nov-26,375,66.67.72.66,Tablet,In-store,0
3ac71a26-c2ff-4889-80aa-8370ee88f690,Andrew Hayden,dennis56@example.net,373.83,27-01-2024,Thompson PLC,bcrawford@higgins-morton.com,Kazakhstan,6.01192E+15,Mar-25,4239,86.196.219.23,Mobile,Online,1
94bb6e94-2e0d-4f7e-9fc2-51240ea15d72,Amy Steele,pmartin@example.net,214.94,18-02-2024,Day Inc,moorechristina@tyler.biz,Saint Martin,6.01185E+15,May-26,457,175.231.231.127,Mobile,Online,1
35c0a1c6-08e1-4de8-96f9-de9f24950d1a,Pamela Collins,jesus29@example.net,825.36,01-01-2024,Woods Inc,dukeandrew@harvey.biz,Benin,4.72127E+15,Feb-29,697,164.108.185.188,Mobile,Online,1
63122842-3020-4138-bb55-b883019e5122,Mark Perkins,manningjoy@example.net,329.63,03-03-2024,"Espinoza, Taylor and Blackburn",richard67@mclean.info,Tokelau,3.66716E+13,Jul-31,7264,79.139.219.52,Desktop,In-store,0
f82b83cc-2120-4026-a9e6-efee8a28c275,Judy Burke,xlarson@example.org,534.32,02-02-2024,"Lee, Ruiz and Willis",dianarobinson@hernandez.com,Sudan,4.29118E+15,Sep-32,933,142.118.193.21,Desktop,Online,1
46524906-b1ce-40d6-8852-b604f819825b,Alison Rodriguez,xsexton@example.org,336.04,26-01-2024,Huerta Group,owhite@wood-clark.org,Eritrea,2.13104E+14,May-30,893,90.192.248.92,Tablet,Online,1
a3a2d2ff-3eb3-4d3f-aa31-0faf36db81e7,Michelle Swanson,lisastewart@example.com,40.12,03-01-2024,Robinson-Brown,nicolejones@chapman-mosley.net,Russian Federation,3.58619E+15,Jul-33,465,16.226.57.239,Mobile,In-store,1
d6fc9d57-902a-45cf-813c-8ee8c0d620cb,Natalie Moses,brian74@example.com,447.21,15-01-2024,"Adams, Hodge and Cole",rick50@preston.com,Gabon,3.75482E+14,Apr-29,193,61.62.6.15,Mobile,In-store,1
98c063b5-5a2b-4d75-9f56-89107ef99997,Edward Barry,tammyrichardson@example.com,99.38,27-02-2024,Lee-Acosta,natasha51@hill.net,Denmark,3.02702E+13,Aug-29,184,205.116.24.108,Desktop,In-store,1
759d3510-b8dd-4e29-a2bf-e3519ceb26e4,Nicholas Garcia,samuel37@example.net,882.95,11-01-2024,"Dominguez, Villa and Watson",arivera@fox-berry.com,Cape Verde,4.60089E+15,Feb-28,819,218.234.33.53,Tablet,Online,0
a5244739-82c3-4294-9f7f-ad4bae44ac95,Matthew Ayala,karenstrickland@example.com,532.46,09-01-2024,Fields and Sons,zhamilton@bennett-padilla.com,Congo,4.93578E+12,Jun-31,458,20.216.154.101,Mobile,In-store,1
c42cf8c3-720a-4ae2-bf41-2a4a2dee72a4,Michael Foster,robertsdanielle@example.org,161.71,09-01-2024,Rodriguez-Brown,rmartinez@fernandez.com,Saint Lucia,4.58493E+18,Aug-33,932,135.33.88.23,Desktop,Online,0
538edba2-3071-424e-af20-e1402b22bda2,Sarah Clark,romanchase@example.com,858.8,25-02-2024,Martinez-Dorsey,robertsonpaula@hall-kennedy.com,Cayman Islands,4.55511E+18,Jan-28,146,209.10.114.185,Tablet,In-store,0
fe80b002-f54c-47c2-a052-43b4743893eb,Sabrina Thomas,paul86@example.com,277.7,13-01-2024,"Palmer, Young and Reed",dfinley@gray.com,Falkland Islands (Malvinas),4.64768E+15,Sep-24,545,216.4.133.147,Mobile,Online,0
ab829b71-96e2-43d9-b8f9-948318a01c35,Deborah Hamilton,tracy69@example.com,268.49,03-01-2024,Hall-Rowe,jennifertorres@mendoza.org,El Salvador,1.80072E+14,Aug-29,696,63.93.137.178,Mobile,Online,0
d92631ae-c0cd-457a-9165-9c00c72735ac,Caleb Richardson,matthew80@example.net,128.75,24-02-2024,Porter PLC,ctucker@howard.com,United States Virgin Islands,3.77868E+14,Apr-29,310,87.225.197.108,Desktop,In-store,1
f1ad785c-b100-4ee7-adea-8e886806cb13,Jennifer Cooper,rhondaholt@example.com,847.67,31-01-2024,Swanson Group,fromero@johnson.com,Algeria,3.05748E+13,Jan-27,281,151.182.211.143,Mobile,In-store,0
68ebc976-8dfa-4064-8669-afec09258187,Mitchell Velasquez,nferguson@example.net,20.99,05-01-2024,"Richardson, Bowers and Porter",karen00@young.com,Latvia,3.5239E+15,Oct-32,341,105.40.124.164,Desktop,In-store,1
26bc64fb-cca4-4518-bf77-d227f3ca5b6d,Mr. Jeffrey Smith MD,michael12@example.org,181.6,29-01-2024,"Small, Bailey and Adams",kristensmith@hahn.com,China,6.56178E+15,Dec-32,735,31.92.112.83,Mobile,In-store,1
e51a41db-f880-4139-9974-e1d633eab7d2,Katie Larsen,elizabeth31@example.org,313.03,31-01-2024,Shannon Inc,juliecarpenter@hobbs.info,United Arab Emirates,4.59612E+15,Feb-33,779,62.229.130.232,Desktop,Online,0
745b7790-8e65-4706-8834-c31de335e0cb,George Jackson,aramirez@example.com,977.11,21-02-2024,"Hester, Haynes and Hubbard",michellerosario@thompson.net,American Samoa,4.0456E+15,Jan-33,133,211.105.232.28,Mobile,Online,0
fc7bb13d-d5d7-4d80-bc19-40b2a07618fe,Jacob Zamora,rebeccawilson@example.net,725.81,19-01-2024,"Anderson, Lynch and Torres",zachary55@larsen.com,Russian Federation,3.05501E+13,Jan-26,476,156.117.46.142,Mobile,In-store,1
ba793555-f794-45e6-8d23-ffd68da3ffb4,Brent Barrera,andre81@example.com,45.37,23-02-2024,"Butler, Myers and Ramirez",figueroaana@dunn.net,Eritrea,5.13699E+15,Mar-28,913,113.111.31.194,Mobile,In-store,0
e45e4e45-2f9f-4e30-a28b-ec3f32da99a4,Michael Castillo,cookechristopher@example.com,758.47,30-01-2024,"Campos, Pham and Brewer",lopezapril@gray.com,Timor-Leste,2.29978E+15,May-30,370,6.88.146.35,Tablet,Online,1
fa98cc5d-ab7f-4cf6-a9e2-1687c9426825,Steven Bean,boyermallory@example.org,62.31,02-02-2024,Gomez-Clark,ashley27@burch-cole.info,Nicaragua,4.64562E+15,Sep-32,740,3.185.200.239,Mobile,Online,0
1a879799-35b3-410b-b344-29ec32f74d4c,Rebecca Duncan,nguyenbrian@example.net,62.73,02-03-2024,"Swanson, Shepard and Coleman",johngomez@moore.org,Solomon Islands,3.5998E+15,Jul-26,984,46.176.146.221,Desktop,In-store,0
6cde922f-4455-42d5-99d0-b9e2b55d9f5e,Amber Pace,danielle37@example.org,653.78,04-02-2024,"Horton, Caldwell and Suarez",derek83@sanders.com,Bahrain,4.11128E+12,Apr-29,677,176.81.90.151,Mobile,In-store,1
570c17bb-4ecf-48f0-8b93-f0391ceee3e3,Martha Harrington,yoderjesse@example.com,210.03,18-02-2024,"Rodgers, Gibbs and Hoover",jasminemartinez@ellis.com,Colombia,3.05068E+13,May-25,732,188.25.190.36,Desktop,Online,0
c8bcff57-de3d-4fff-bed8-2ed27c9ce4e3,Rebecca Brooks,michaelbautista@example.net,650.67,03-02-2024,Adams-Perez,sherrymoore@taylor.info,Papua New Guinea,3.03817E+13,Mar-26,938,223.85.254.209,Mobile,Online,0
e7cf429c-15be-4f30-aa57-535782ca7ac5,Blake Roberts,kkirby@example.com,704.63,05-02-2024,Barker LLC,trevorhayes@jones.biz,Guyana,4.67227E+15,Jan-26,962,106.179.55.57,Tablet,Online,0
31de72f9-613a-4845-b03a-00a537aa82c8,Melissa Everett,ramirezlouis@example.com,257.92,02-03-2024,Mcknight Group,vasquezricky@schneider.net,Zambia,6.01164E+15,Apr-25,782,201.91.181.159,Tablet,Online,1
ba80088e-592b-487a-a2ce-25a9ab5dba92,Bradley Rodriguez,felicia22@example.com,888.79,08-02-2024,"Patton, Garner and House",andrewbarnes@warren.com,Saint Helena,4.26554E+18,Dec-25,5,28.50.254.216,Desktop,In-store,0
0549d3c1-1abc-43be-bfda-5a935774bd39,Daniel Farmer,patricia17@example.com,935.86,05-03-2024,Knapp Inc,justinbaker@white-hill.org,Saudi Arabia,6.76241E+11,Jun-25,739,205.102.12.176,Tablet,Online,0
c5b69350-5879-4484-9ccf-b7d813accd71,Alexandria Stone,lharris@example.net,664.46,22-01-2024,Wilkinson-Johnson,isaacblankenship@conway.com,Paraguay,1.80004E+14,Apr-27,770,108.119.120.93,Desktop,Online,0
abb01725-4e79-4f4f-b5c5-589f6b9cda5d,Alexis Pacheco,pnelson@example.org,788.86,22-02-2024,Villa-Ramirez,ejohnson@lopez-black.org,Cocos (Keeling) Islands,60445333473,Dec-29,4,62.244.238.232,Desktop,In-store,0
f02b14dd-f0b1-410a-96fa-a198657f7a85,Andrew Martin,carpentertyler@example.com,220.16,26-02-2024,"Morgan, Medina and Smith",cstevenson@clark.org,British Virgin Islands,5.24455E+15,Oct-24,381,121.80.3.76,Mobile,Online,0
db4b45ed-34b6-4d01-8199-920290c1ffc9,Diana Hickman,megan37@example.com,444.4,25-01-2024,Henson Inc,williamsbrenda@johnson-moore.biz,Germany,6.76218E+11,Jan-32,975,95.55.168.39,Desktop,In-store,1
d92492ff-1cfa-4433-af60-c5763aecf6b9,Janet Joseph,xjefferson@example.net,606.46,07-02-2024,"Martinez, Blankenship and Brewer",avelez@giles.com,Hungary,4.0575E+15,Jul-33,98,184.83.163.224,Mobile,Online,0
2f9a552f-0861-45ee-9698-7d580257e5e6,Tracy Howard,dhughes@example.org,489.5,11-01-2024,"Bryant, Larsen and Johnson",matthew05@shepherd-garcia.com,Bolivia,5.78198E+11,Jan-33,239,11.107.100.99,Desktop,In-store,0
b0500040-cf61-44cc-83c5-274b38679534,Cathy Wilson,turnersean@example.net,451.59,01-01-2024,"Harris, Carey and Castillo",samantha48@harris.com,Iraq,4.32589E+15,Jun-29,9600,3.142.143.140,Tablet,In-store,1
29064297-a3f4-4d3e-aec1-1daeee14da1b,William Miller,joshua48@example.org,475.98,02-02-2024,Bush and Sons,fjones@johnson-duke.info,United Arab Emirates,3.43982E+14,Jul-25,773,3.178.96.80,Mobile,Online,1
982d921d-640a-4250-bc9a-2ed063d0a22e,Alexandra Martinez,mknight@example.net,350.33,27-02-2024,"Frost, Smith and Hatfield",echavez@brown.com,Maldives,4.36632E+15,Feb-33,460,132.78.58.36,Desktop,In-store,0
fb7877ec-51e3-45dd-89cb-25933a62840c,Ryan Powers,randy71@example.net,92.93,01-03-2024,Campos Group,sherry79@smith.com,Costa Rica,3.43013E+14,Oct-32,598,157.211.172.18,Tablet,Online,1
5f59dc4c-0aab-425f-a0e2-03db40ba2b46,Paul Horton,anthonybarber@example.com,343.95,14-01-2024,"Mcdaniel, Hall and Robinson",leedavid@park.net,Hungary,4.02576E+12,Mar-31,5492,60.52.102.138,Mobile,Online,0
5f1dd892-893f-4ad0-9b2e-57f13ad3c56f,Tiffany Johnston,kimberlymills@example.net,989.97,05-03-2024,Perez-Huff,jamesgray@kim.com,Cape Verde,3.56676E+15,Apr-24,986,91.195.132.178,Desktop,Online,0
9ab4cc60-850d-4b40-9ebb-0c997a0711a6,Holly Mcmahon,xtucker@example.com,105.29,28-02-2024,Sanders-Christensen,anna85@werner.info,Northern Mariana Islands,1.80094E+14,Dec-31,737,129.169.147.91,Desktop,In-store,1
21638121-a5fe-4f17-b90d-024565df50c1,Matthew Durham,wroberts@example.net,650.83,07-02-2024,Fowler Ltd,ulawson@weeks.org,Isle of Man,4.54265E+18,Jan-34,3726,7.187.109.44,Desktop,Online,0
712a9ddd-ff23-4c66-94cd-393384011ffd,Dawn Myers,melissakramer@example.com,123.93,01-02-2024,"Jones, Nash and Rose",jeansmith@ford.com,Czech Republic,4.17302E+18,Oct-26,892,79.62.198.115,Desktop,In-store,0
3e135031-99ad-455c-87b8-d8855ec79cac,David Cochran,jonathan72@example.net,66.02,26-01-2024,Stone-Juarez,peter14@guerra.net,Nauru,2.13127E+14,Aug-33,6374,142.209.181.66,Mobile,Online,0
e825de83-ab12-4a78-8bd8-6dc318ba2ab4,Bobby Kirby,obrown@example.net,517.06,04-03-2024,Rodriguez LLC,lsmith@sullivan.com,Lithuania,3.03734E+13,Jan-25,527,3.157.233.85,Desktop,In-store,1
bee5b8a1-7794-445b-98d9-6adef3808f13,Scott Hopkins,lisa55@example.com,864.96,13-02-2024,Kline Group,rosspaul@jackson-murphy.info,Swaziland,4.68221E+18,Mar-24,816,3.96.187.17,Desktop,In-store,1
eef88ac0-b6b8-4699-8dd4-df124af8d942,Jessica Lopez,edwardselizabeth@example.net,56.16,23-01-2024,Foster-Mills,alexis59@carroll.com,Afghanistan,3.41321E+14,May-24,796,176.95.223.17,Desktop,In-store,0
facb71d5-4104-4235-9e05-f0a9bb8af03b,Brian Olson,brandonross@example.com,560.82,13-01-2024,Durham-White,bmorris@hess-marshall.com,Senegal,4.75078E+15,Nov-27,403,16.156.62.173,Mobile,Online,1
4f5c9e5a-d889-455c-b831-bc7a3f822d73,Krystal Mills,chenjames@example.com,973.5,05-01-2024,"Padilla, Willis and Barker",codygallagher@lee.com,Japan,6.76212E+11,Apr-29,755,47.84.59.22,Desktop,In-store,0
7e72e4d7-b284-41db-8fc8-9159ea454434,Sherry Cohen,fcook@example.net,632.85,23-01-2024,Smith Group,vincentzamora@dillon.info,Antarctica (the territory South of 60 deg S),4.5167E+15,Apr-32,436,188.158.170.29,Desktop,In-store,0
d6b9405d-145a-4620-a538-501c0e89f846,Richard Ayala,smithhoward@example.net,403.98,02-01-2024,Fry Ltd,stewartcassandra@moran-burns.info,Malaysia,3.81357E+13,Apr-31,8934,43.73.195.162,Mobile,In-store,1
4f6ab44a-ddad-418b-9393-743a6b7cde2b,Roy Wheeler,ucollins@example.net,230.34,04-02-2024,Huff Group,ywright@barrett.com,Grenada,4.13107E+15,Jan-30,768,29.213.85.52,Tablet,Online,0
53716046-7d27-4e90-87cd-b7bcb7380305,John Chang,jamesjoseph@example.com,238.03,26-02-2024,Turner-Gonzales,jsolis@hinton-barrett.net,Tunisia,2.49906E+15,Nov-33,364,134.79.27.70,Mobile,In-store,0
e915853a-012a-40c7-8d6f-19bd11ef1def,Lisa Smith,stephanie18@example.net,440.86,01-01-2024,Castro-Swanson,samanthadalton@rose-washington.com,Mozambique,2.13108E+14,Dec-27,121,10.116.1.44,Mobile,Online,1
628ca749-f5d4-437a-9994-dd4c3c763a51,Dustin Nolan,gonzalezjackson@example.org,233.56,07-02-2024,Gardner-Johnson,scottbeck@gilbert-garcia.com,Moldova,4.59468E+18,Aug-25,210,19.222.110.202,Tablet,Online,1
d05963ec-6e74-4583-987b-61df93c09d59,Mary Maxwell,osalas@example.org,533.9,21-01-2024,Myers-Wilcox,yoderdavid@strickland-fry.com,Bosnia and Herzegovina,3.50468E+15,Oct-25,263,182.47.81.43,Desktop,Online,0
965cbc17-db8e-4ec2-a2e7-5814a359fc2a,Angela Galloway,ferrellronald@example.org,269.59,08-01-2024,Schneider PLC,kevinfigueroa@henson.org,Seychelles,4.09323E+12,Feb-25,896,23.18.64.95,Desktop,Online,0
